City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Matagami,CA,49.7502,-77.6328,19.51,86,100,5.75,overcast clouds
305,Puri,IN,19.8,85.85,73.92,56,5,10.0,clear sky
306,Khobi,GE,42.3156,41.8987,51.89,83,41,3.09,scattered clouds
307,Esperance,AU,-33.8667,121.9,53.44,67,100,9.75,overcast clouds
308,Yarada,IN,17.65,83.2667,80.92,65,40,5.75,haze
309,Jaen,ES,38.0,-3.5,74.16,31,6,9.93,clear sky
310,Kahului,US,20.8947,-156.47,73.85,88,75,5.75,moderate rain
311,La Grande,US,45.3246,-118.0877,27.01,87,13,2.73,few clouds
312,Mananara,MG,-16.1667,49.7667,73.9,78,0,5.46,clear sky
313,Korla,CN,41.7597,86.1469,37.33,47,0,3.06,clear sky
314,Nishihara,JP,26.1842,127.7558,74.86,83,75,18.41,broken clouds
315,Qaqortoq,GL,60.7167,-46.0333,30.63,95,100,12.33,overcast clouds
316,Mineros,BO,-17.1167,-63.2333,93.63,39,75,16.13,broken clouds
317,Barabai,ID,-2.5833,115.3833,74.93,97,100,2.44,overcast clouds
318,Hinatuan,PH,8.3722,126.3342,77.09,91,94,2.39,overcast clouds
319,Colares,PT,38.7992,-9.4469,69.26,91,75,13.8,broken clouds
320,Zaysan,KZ,47.4667,84.8667,33.98,55,72,1.54,broken clouds
321,Umea,SE,63.8284,20.2597,35.53,93,0,1.14,clear sky
322,Ngunguru,NZ,-35.6167,174.5,55.54,91,20,8.66,few clouds
323,Eureka,US,40.8021,-124.1637,41.58,98,11,1.01,few clouds
324,Hay River,CA,60.8156,-115.7999,24.78,86,75,10.36,broken clouds
325,Luocheng,CN,29.3848,104.0286,54.23,81,100,1.3,overcast clouds
326,Westport,US,41.1415,-73.3579,50.07,82,100,13.8,overcast clouds
327,Bafq,IR,31.6128,55.4107,62.31,48,28,4.43,scattered clouds
328,Kailua,US,21.4022,-157.7394,75.49,85,9,3.0,light rain
329,La Orilla,MX,17.9833,-102.2333,79.86,77,70,4.32,broken clouds
330,Sao Joao Nepomuceno,BR,-21.54,-43.0106,86.59,59,14,4.12,few clouds
331,Banamba,ML,13.55,-7.45,95.4,15,38,5.73,scattered clouds
332,Nanortalik,GL,60.1432,-45.2371,36.73,85,100,19.24,light rain
333,Tilichiki,RU,60.4667,166.1,19.44,91,100,6.96,overcast clouds
334,Karlskrona,SE,56.1616,15.5866,50.45,86,51,4.12,broken clouds
335,Maraa,BR,-1.8333,-65.3667,92.91,46,51,3.98,broken clouds
336,Orlik,RU,52.5178,99.825,7.74,92,95,3.76,overcast clouds
337,Maragogi,BR,-9.0122,-35.2225,83.41,66,48,9.84,scattered clouds
338,Magadi,IN,12.9667,77.2333,71.76,93,99,8.97,overcast clouds
339,Cintalapa,MX,16.6951,-93.7272,73.2,79,96,7.02,overcast clouds
340,Atraulia,IN,26.3333,82.95,68.18,42,0,4.38,clear sky
341,Worthington,US,40.0931,-83.018,34.32,85,100,10.36,overcast clouds
342,Yulara,AU,-25.2406,130.9889,69.46,23,0,16.96,clear sky
343,Tynda,RU,55.1667,124.7167,-1.44,100,100,0.22,overcast clouds
344,Emerald,AU,-23.5333,148.1667,72.34,65,100,13.06,light rain
345,Tiznit,MA,29.5833,-9.5,81.59,15,67,2.37,broken clouds
346,Jinchang,CN,38.4953,102.1739,36.61,39,89,4.74,overcast clouds
347,Port Hardy,CA,50.6996,-127.4199,41.18,100,100,0.0,overcast clouds
348,Bonavista,CA,48.6499,-53.1147,35.8,71,100,14.03,overcast clouds
349,Buala,SB,-8.145,159.5921,79.32,78,22,4.79,few clouds
